CNES;NOMEUBS;STS;CRS;PERC_ESF;EAB;AREA_KM2;PERIMETRO_KM;POP_2010;DOM_PP_2010;DENS_DEMOG_HAB_P_KM2;DENS_DOMIC
5079454;UBS JARDIM CELESTE;M BOI MIRIM;SUL;100;ESF_EXCLUSIVA;,860105446923;6,59881307197;18165;5736,89083570945;21119,503503884;3,16634925087495
2786753;UBS ANTONIO P F VILLALOBO;PENHA;SUDESTE;100;ESF_EXCLUSIVA;1,16351857154;5,63424854989;19450;5908,42823920282;16716,5359245246;3,29190762967178
2789205;AMA/UBS INTEGRADA VILA PREL- ANTONIO BERNARDES DE OLIVEIRA;CAMPO LIMPO;SUL;100;ESF_EXCLUSIVA;2,20525764468;9,65135810202;28865;9161,6793307297;13089,1735347271;3,15062325999364
5882281;AMA UBS INTEGRADA JARDIM ELISA MARIA;FREGUESIA / BRASILANDIA;NORTE;100;ESF_EXCLUSIVA;,320701773441;4,22481839568;12439;3490,00329399582;38786,8138879763;3,56418001707906
2787997;UBS JORDANOPOLIS;CAPELA DO SOCORRO;SUL;100;ESF_EXCLUSIVA;,521342743507;3,6155852795;11625;3367,48779022151;22298,190863462;3,45212832953889
4050223;UBS PARQUE DO LAGO;M BOI MIRIM;SUL;100;ESF_EXCLUSIVA;1,86453233467;7,32696101735;8912;2655,26677920397;4779,75084383684;3,35634824711352
2788438;UBS IACAPE JD PLANALTO;VILA PRUDENTE / SAPOPEMBA;SUDESTE;100;ESF_EXCLUSIVA;1,00130900818;5,09691095822;21859;6689,09437541148;21830,4237966773;3,26785642019819
3689247;UBS JARDIM IPORA;PARELHEIROS;SUL;100;ESF_EXCLUSIVA;4,20536420904;10,9176403629;9885;2865,88716925884;2350,56929879007;3,44919371077557
6280188;UBS CHACARA DO SOL;CAPELA DO SOCORRO;SUL;100;ESF_EXCLUSIVA;2,73152397774;7,99364367675;2278;657,051979956308;833,966686203049;3,46700119547845
6332471;UBS MARSILAC;PARELHEIROS;SUL;100;ESF_EXCLUSIVA;55,6484239673;36,9744908961;1407;399,708337636413;25,2837349145194;3,5200666774178
2787490;UBS JARDIM IVA;MOOCA / ARICANDUVA / FORMOSA / CARRAO;SUDESTE;100;ESF_EXCLUSIVA;1,2319263269;5,71303095946;23507;7201,05169305057;19081,4982087059;3,26438428746257
2774763;UBS ARRASTAO - FRANCISCO SCALAMANDRE SOBRINHO;CAMPO LIMPO;SUL;100;ESF_EXCLUSIVA;1,72776181102;9,32821297339;17412;5165,27181195098;10077,7780183257;3,37097458447657
2787458;UBS JARDIM HERCULANO;M BOI MIRIM;SUL;100;ESF_EXCLUSIVA;11,5113942804;20,6262596934;24156;7133,44072325767;2098,44258754385;3,38630416052137
2752263;UBS JARDIM GUAIRACA;VILA PRUDENTE / SAPOPEMBA;SUDESTE;100;ESF_EXCLUSIVA;1,87989318603;7,32339065016;22271;7009,14178766242;11846,9496913452;3,17742181206859
2788160;UBS NOVO JARDIM I;M BOI MIRIM;SUL;100;ESF_EXCLUSIVA;2,52527504245;10,7553622169;21184;6534,95842059404;8388,78919875891;3,24164266037891
2787067;UBS GAIVOTAS;CAPELA DO SOCORRO;SUL;100;ESF_EXCLUSIVA;3,08399686164;8,22434522963;16578;4712,57548598467;5375,4918515657;3,51782163475225
2789264;UBS VILA TEREZINHA;FREGUESIA / BRASILANDIA;NORTE;100;ESF_EXCLUSIVA;,49359936878;3,8145963528;13363;3892,04127833676;27072,5629836775;3,43341682278113
2787989;UBS JARDIM INDAIA;ITAIM PAULISTA;LESTE;100;ESF_EXCLUSIVA;,655150294399;5,56656735441;14383;4047,8410308833;21953,7411842182;3,55325218808344
2787148;UBS ILZA WELTMAN HUTZLER;CASA VERDE / CACHOEIRINHA;NORTE;100;ESF_EXCLUSIVA;1,7273602076;7,1482307375;25931;8231,50493174986;15011,923909043;3,15021374766856
9343121;UBS INTERATIVA;PIRITUBA;NORTE;100;ESF_EXCLUSIVA;,752409951809;4,1110902785;18732;5524,13442898005;24896,0024451606;3,39093847929016
2062658;UBS JARDIM MAIA;SAO MIGUEL;LESTE;100;ESF_EXCLUSIVA;1,64344630757;7,38802897906;31341;8873,11838367092;19070,2914087536;3,53212913936507
2788497;UBS REUNIDAS II;VILA PRUDENTE / SAPOPEMBA;SUDESTE;100;ESF_EXCLUSIVA;1,44713179833;7,69208250412;26424;8203,53250697428;18259,5669796583;3,22105141626921
2788659;UBS THERSIO VENTURA;SAO MIGUEL;LESTE;100;ESF_EXCLUSIVA;1,08940376719;6,88050084652;19706;5959,48686128619;18088,7936993549;3,30666053280752
7270941;UBS INTEGERL JARDIM MARINGA TALARICO;PENHA;SUDESTE;100;ESF_EXCLUSIVA;1,99830002857;7,47626835446;25123;7859,75141457009;12572,1861786582;3,19641152434262
3219771;UBS JARDIM DA CONQUISTA II;SAO MATEUS;LESTE;100;ESF_EXCLUSIVA;,702695860386;4,96195445921;16202;4471,65618901504;23056,9168161885;3,62326603726857
2789221;UBS VILA RENATO;VILA PRUDENTE / SAPOPEMBA;SUDESTE;100;ESF_EXCLUSIVA;,583615188321;4,47412548322;10746;3340,1191234919;18412,8175809048;3,21725052391715
2786761;UBS AUGUSTO LEOPOLDO AYROSA GALVAO;FREGUESIA / BRASILANDIA;NORTE;100;ESF_EXCLUSIVA;1,30601291905;6,19585551881;23111;7073,48437768456;17695,8433281128;3,26727236055128
2787954;UBS JARDIM VITORIA;CIDADE TIRADENTES;LESTE;100;ESF_EXCLUSIVA;,849435869091;5,06272228238;8039;2172,77529149516;9463,92811102115;3,69987638918154
3219887;UBS CDHU PALANQUE;SAO MATEUS;LESTE;100;ESF_EXCLUSIVA;2,0619851087;8,75586325309;11744;3443,7478456318;5695,4824506003;3,41023806806779
2787466;UBS JARDIM ICARAI - BRASIL?NDIA;FREGUESIA / BRASILANDIA;NORTE;100;ESF_EXCLUSIVA;,674776229355;5,04989441698;16786;4914,41431342788;24876,3949732569;3,41566643132526
5621267;UBS JARDIM FLOR DE MAIO;SANTANA / TUCURUVI / JAÇANA / TREMEMBE;NORTE;100;ESF_EXCLUSIVA;,647887300061;3,92196330064;14518;3766,40066745568;22408,2182173244;3,85460849278347
9488413;UBS ENCOSTA NORTE;ITAIM PAULISTA;LESTE;100;ESF_EXCLUSIVA;1,43952409221;7,29518901253;32056;8923,70374871223;22268,4706518435;3,5922304126945
2787334;UBS JARDIM DAS CAMELIAS;SAO MIGUEL;LESTE;100;ESF_EXCLUSIVA;,658443763678;4,06823445196;14661;4310,23924486658;22266,1384445425;3,40143531880765
3016935;UBS JARDIM BANDEIRANTES;GUAIANASES;LESTE;100;ESF_EXCLUSIVA;,298875842371;3,35210274507;6268;1764,31126010345;20971,9191429979;3,55266111016741
9339833;UBS JOVA RURAL;SANTANA / TUCURUVI / JAÇANA / TREMEMBE;NORTE;100;ESF_EXCLUSIVA;1,09815990842;6,8679947764;21997;5815,49727900226;20030,7804276416;3,78247963066263
2788446;UBS PARQUE SANTA RITA;ITAIM PAULISTA;LESTE;100;ESF_EXCLUSIVA;1,14391553942;5,49430549125;21191;6200,76510358943;18524,9690818471;3,41748149558724
9632387;UBS JARDIM SAO CARLOS;SAO MIGUEL;LESTE;100;ESF_EXCLUSIVA;,930667237124;4,63534933016;16997;4781,06739647763;18263,2409544415;3,55506387810434
2787725;UBS JARDIM ROBRU - ITAIM;ITAIM PAULISTA;LESTE;100;ESF_EXCLUSIVA;,975913930784;6,04274078126;17401;4993,28077970623;17830,465834237;3,48488313950247
4049977;UBS CRUZ DAS ALMAS;FREGUESIA / BRASILANDIA;NORTE;100;ESF_EXCLUSIVA;1,56671324039;6,75805090733;26528;8522,65677585425;16932,2625966935;3,11264441331923
2786788;UBS BARRO BRANCO;CIDADE TIRADENTES;LESTE;100;ESF_EXCLUSIVA;,708682254177;4,74762458711;11253;2913,86581238324;15878,7664481146;3,86187996447105
3002926;UBS PREFEITO CELSO AUGUSTO DANIEL;GUAIANASES;LESTE;100;ESF_EXCLUSIVA;1,22806459898;6,64106817692;19283;5622,65627749236;15701,942728433;3,42951783789281
6048633;UBS BORACEA;SANTA CECILIA;CENTRO;100;ESF_EXCLUSIVA;1,43322590749;10,3177331522;19284;7291,2998642957;13454,9619143935;2,64479590181589
2789183;UBS VILA PIRITUBA;PIRITUBA;NORTE;100;ESF_EXCLUSIVA;2,06892439998;7,82614240287;27553;8820,16818690098;13317,5479975326;3,12386333413909
2065266;UBS ERMELINO MATARAZZO;ERMELINO MATARAZZO;LESTE;100;ESF_EXCLUSIVA;1,99021525048;7,40169595103;26386;7754,36513557348;13257,8624315316;3,40272859720689
2788527;AMA/UBS INTEGRADA JARDIM SAO FRANCISCO II;SAO MATEUS;LESTE;100;ESF_EXCLUSIVA;1,71371795727;6,71664142398;16686;4519,36470966173;9736,7247213662;3,6921118502182
2788810;UBS VILA DALVA - GUILHERME HENRIQUE P COELHO;BUTANTA;OESTE;100;ESF_EXCLUSIVA;1,65645886045;7,16204270783;15088;4395,06534097415;9108,58721592466;3,43294099847348
4050061;UBS RIO CLARO;SAO MATEUS;LESTE;100;ESF_EXCLUSIVA;2,49868316871;11,3149605718;20272;5592,45375918986;8113,07341957479;3,62488468799367
3661660;UBS INACIO MONTEIRO;CIDADE TIRADENTES;LESTE;100;ESF_EXCLUSIVA;3,29232551898;11,7946599279;21945;6327,1314048744;6665,50129186461;3,4683964336656
